unit,cycle,rul,lower,upper,failure_probability,health,risk,action,priority,engine,actual_rul
1,31,123.99461505986613,82.27766592344236,165.7115641962899,0.00022200129222280966,99.1956920478929,HEALTHY,Monitor,34.17786726124612,ENG-001,112
2,49,121.4399555809937,79.72300644456992,163.1569047174175,0.00030171983050074,97.15196446479496,HEALTHY,Monitor,36.22159484434406,ENG-002,98
3,126,46.89730899363713,5.180359857213354,88.6142581300609,0.08250719521751873,37.517847194909706,WATCH,Schedule inspection,95.85571211422932,ENG-003,69
4,106,96.5432865418404,54.82633740541662,138.26023567826417,0.006820385561722707,77.23462923347232,HEALTHY,Monitor,56.13893007566671,ENG-004,82
5,98,85.44200280140905,43.72505366498527,127.15895193783282,0.0021043902515545123,68.35360224112725,HEALTHY,Monitor,65.01995706801178,ENG-005,91
6,105,107.91327729268396,66.19632815626018,149.63022642910772,0.0010746323120428873,86.33062183414717,HEALTHY,Monitor,47.04293747499185,ENG-006,93
7,160,103.57327870196268,61.8563295655389,145.29022783838644,0.0007219707562617486,82.85862296157015,HEALTHY,Monitor,50.51493634756887,ENG-007,91
8,166,77.03382926810087,35.316880131677095,118.75077840452465,0.0016171464602199807,61.627063414480695,HEALTHY,Monitor,71.74649589465832,ENG-008,95
9,55,123.42186716307734,81.70491802665356,165.13881629950112,0.0003276296426062105,98.73749373046186,HEALTHY,Monitor,34.636065578677155,ENG-009,111
10,192,101.58752113209356,59.87057199566978,143.30447026851732,0.0007183005368820588,81.27001690567484,HEALTHY,Monitor,52.103542403464175,ENG-010,96
11,83,67.6848395096706,25.967890373246817,109.40178864609437,0.012041242127739164,54.14787160773648,HEALTHY,Monitor,79.22568770140255,ENG-011,97
12,217,94.49058348008226,52.773634343658486,136.20753261650606,0.0002460576486052247,75.5924667840658,HEALTHY,Monitor,57.78109252507322,ENG-012,124
13,195,107.79338823721065,66.07643910078687,149.51033737363443,0.0005770904453569735,86.23471058976853,HEALTHY,Monitor,47.13884871937051,ENG-013,95
14,46,109.3108968844597,67.59394774803592,151.0278460208835,0.0009149117642020543,87.44871750756775,HEALTHY,Monitor,45.92484180157127,ENG-014,107
15,76,118.55205870958935,76.83510957316557,160.26900784601312,0.00022940363594584995,94.84164696767148,HEALTHY,Monitor,38.531912341467546,ENG-015,83
16,113,82.74701206380121,41.03006292737743,124.46396120022499,0.0003133877882044932,66.19760965104096,HEALTHY,Monitor,67.17594965809806,ENG-016,84
17,165,48.629959356654396,6.913010220230618,90.34690849307817,0.001298182580390014,38.90396748532352,WATCH,Schedule inspection,94.4695918238155,ENG-017,50
18,133,63.094913571223714,21.377964434799935,104.81186270764749,0.17875139861126177,50.47593085697897,HEALTHY,Monitor,82.89762845216005,ENG-018,28
19,135,91.44026283574803,49.72331369932425,133.1572119721718,0.0007743595229668664,73.15221026859842,HEALTHY,Monitor,60.221349040540595,ENG-019,87
20,184,17.68069732766517,0.0,59.39764646408895,0.9799859422490232,14.144557862132137,CRITICAL,Priority inspection,100.0,ENG-020,16
21,148,76.17693671890906,34.45998758248528,117.89388585533284,0.0006094060133465903,60.94154937512725,HEALTHY,Monitor,72.43200993401177,ENG-021,57
22,39,123.27596452477928,81.5590153883555,164.99291366120306,0.00034964730513386877,98.62077161982343,HEALTHY,Monitor,34.7527876893156,ENG-022,111
23,130,120.05187261358034,78.33492347715656,161.76882175000412,0.0005440040753929547,96.04149809086428,HEALTHY,Monitor,37.332061218274745,ENG-023,113
24,186,20.148976640220518,0.0,61.865925776644296,0.9801053356659133,16.119181312176412,WATCH,Schedule inspection,100.0,ENG-024,20
25,48,114.06220980286245,72.34526066643868,155.77915893928622,0.00042114181322494565,91.24976784228997,HEALTHY,Monitor,42.123791466849056,ENG-025,145
